code,v2,label,visited,payoff,v6,v7,liberal,comment,condition,cause,age,gender,race,volunteer,donated,politics,ceostanceopinion,ceocsropinion,trolley,risk1,risk2,risk3,risk4,risk5,amb1,amb2,amb3,amb4,amb5,amb6,amb7,fair1,fair2,fair3,fair4,fair5,fair6,fair7,fair8,fair9,fair10,risk,amb,fair,match,round_earnings_1,round_earnings_2,round_earnings_3,round_earnings_4,round_earnings_5,round_earnings_6,round_earnings_7,round_earnings_8,round_earnings_9,round_earnings_10,round_earnings_str_1,round_earnings_str_2,round_earnings_str_3,round_earnings_str_4,round_earnings_str_5,round_earnings_str_6,round_earnings_str_7,round_earnings_str_8,round_earnings_str_9,round_earnings_str_10,pre_decision_earnings_1,pre_decision_earnings_2,pre_decision_earnings_3,pre_decision_earnings_4,pre_decision_earnings_5,pre_decision_earnings_6,pre_decision_earnings_7,pre_decision_earnings_8,pre_decision_earnings_9,pre_decision_earnings_10,round_donation_str_1,round_donation_str_2,round_donation_str_3,round_donation_str_4,round_donation_str_5,round_donation_str_6,round_donation_str_7,round_donation_str_8,round_donation_str_9,round_donation_str_10,social_action_1,social_action_2,social_action_3,social_action_4,social_action_5,social_action_6,social_action_7,social_action_8,social_action_9,social_action_10,social_action_b_1,social_action_b_2,social_action_b_3,social_action_b_4,social_action_b_5,social_action_b_6,social_action_b_7,social_action_b_8,social_action_b_9,social_action_b_10,board_block_1,board_block_2,board_block_3,board_block_4,board_block_5,board_block_6,board_block_7,board_block_8,board_block_9,board_block_10,donation_1,donation_2,donation_3,donation_4,donation_5,donation_6,donation_7,donation_8,donation_9,donation_10,type_1,type_2,type_3,type_4,type_5,type_6,type_7,type_8,type_9,type_10,cotton_1,cotton_2,cotton_3,cotton_4,cotton_5,cotton_6,cotton_7,cotton_8,cotton_9,cotton_10,price_1,price_2,price_3,price_4,price_5,price_6,price_7,price_8,price_9,price_10,type_b_1,type_b_2,type_b_3,type_b_4,type_b_5,type_b_6,type_b_7,type_b_8,type_b_9,type_b_10,cotton_b_1,cotton_b_2,cotton_b_3,cotton_b_4,cotton_b_5,cotton_b_6,cotton_b_7,cotton_b_8,cotton_b_9,cotton_b_10,price_b_1,price_b_2,price_b_3,price_b_4,price_b_5,price_b_6,price_b_7,price_b_8,price_b_9,price_b_10,round_earnings_n_1,round_earnings_n_2,round_earnings_n_3,round_earnings_n_4,round_earnings_n_5,round_earnings_n_6,round_earnings_n_7,round_earnings_n_8,round_earnings_n_9,round_earnings_n_10,type_n_1,type_n_2,type_n_3,type_n_4,type_n_5,type_n_6,type_n_7,type_n_8,type_n_9,type_n_10,cotton_n_1,cotton_n_2,cotton_n_3,cotton_n_4,cotton_n_5,cotton_n_6,cotton_n_7,cotton_n_8,cotton_n_9,cotton_n_10,price_n_1,price_n_2,price_n_3,price_n_4,price_n_5,price_n_6,price_n_7,price_n_8,price_n_9,price_n_10,social_action_n_1,social_action_n_2,social_action_n_3,social_action_n_4,social_action_n_5,social_action_n_6,social_action_n_7,social_action_n_8,social_action_n_9,social_action_n_10,board_block_n_1,board_block_n_2,board_block_n_3,board_block_n_4,board_block_n_5,board_block_n_6,board_block_n_7,board_block_n_8,board_block_n_9,board_block_n_10,donate_num,donate_num_1h,donate_num_2h,black,eastasian,hispanic,multiracial,other,southasian,white,asian,other_race,female,male,nonbinary,unkgender,mismatch,control,match_,earnings,earnings_1h,earnings_2h,donate_pct,donate_pct_1h,donate_pct_2h
bhxm3lzg,27zo8zel,,1,2.96,bhxm3lzg,27zo8zel,1,,Baseline,the National Rifle Association (NRA),24,0,East Asian,0,1,4,4,5,1,0,0,0,1,1,0,0,0,0,0,0,1,0,2,-5,-3,5,-3,0,-2,-2,0,2,1,-.80000001,0,2.9400001,3.04,2.99,2.99,2.99,2.29,2.2,2.9400001,2.29,2.5899999,2.9400001,3.04,2.99,2.99,2.99,2.29,2.2,2.9400001,2.29,2.5899999,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,Sweater Vest,Sweater Vest,Cardigan,Turtleneck,Turtleneck,Cardigan,Cardigan,Sweater Vest,Turtleneck,Cardigan,100,85,100,85,90,50,40,80,50,100,55,50,40,45,50,80,79,55,80,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9400001,3.04,2.99,2.99,2.99,2.29,2.2,2.9400001,2.29,2.5899999,Sweater Vest,Sweater Vest,Cardigan,Turtleneck,Turtleneck,Cardigan,Cardigan,Sweater Vest,Turtleneck,Cardigan,100,85,100,85,90,50,40,80,50,100,55,50,40,45,50,80,79,55,80,80,No Action,No Action,No Action,No Action,No Action,No Action,No Action,No Action,No Action,No Action,,,,,,,,,,,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,27.260002,14.95,12.309999,0,0,0
izrxq0q1,27zo8zel,,1,1.0599999,izrxq0q1,27zo8zel,1,,Baseline,Everytown for Gun Safety,48,Prefer not to Disclose,Hispanic,1,1,4,4,4,0,0,1,1,1,1,0,0,1,1,1,1,1,1,3,0,-2,3,-4,0,,-1,,4,5,,1,.44999999,.44999999,2.7,.44999999,3,4.0500002,2.4000001,2,.44999999,.44999999,.44999999,.44999999,2.7,.44999999,3,4.0500002,2.4000001,2,.44999999,.44999999,,,,,,,,,,,.050000001,.050000001,0,.050000001,0,.44999999,0,0,.050000001,.050000001,1,1,0,1,0,1,0,0,1,1,,,,,,,,,,,,,,,,,,,,,.029999999,0,0,0,0,0,0,0,.029999999,.059999999,Cardigan,Cardigan,Turtleneck,Sweater Vest,Sweater Vest,Cardigan,Cardigan,Cardigan,Cardigan,Cardigan,100,80,100,100,100,40,100,40,80,60,59,49,69,49,49,99,99,99,99,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.44999999,.44999999,2.7,.44999999,3,4.0500002,2.4000001,2,.44999999,.44999999,Cardigan,Cardigan,Turtleneck,Sweater Vest,Sweater Vest,Cardigan,Cardigan,Cardigan,Cardigan,Cardigan,100,80,100,100,100,40,100,40,80,60,59,49,69,49,49,99,99,99,99,89,Donate 10% of Period Earnings,Donate 10% of Period Earnings,No Action,Donate 10% of Period Earnings,No Action,Donate 10% of Period Earnings,No Action,No Action,Donate 10% of Period Earnings,Donate 10% of Period Earnings,,,,,,,,,,,6,3,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,16.4,7.0499997,9.3500004,.60000002,.30000001,.30000001
6cuy0ef7,27zo8zel,,1,4.52,6cuy0ef7,27zo8zel,1,,Baseline,The American Red Cross,28,1,White,0,1,4,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,3,5,-5,2,3,-3,3,0,5,4,5,7,1.7,2,3,2.9000001,.44999999,.44999999,1.71,4.0500002,2.7,2,4.0500002,.44999999,3,2.9000001,.44999999,.44999999,1.71,4.0500002,2.7,2,4.0500002,.44999999,,,,,,,,,,,0,0,.050000001,.050000001,.19,.44999999,.30000001,0,.44999999,.050000001,0,0,1,1,1,1,1,0,1,1,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,.22,.22,Sweater Vest,Turtleneck,Cardigan,Sweater Vest,Turtleneck,Cardigan,Cardigan,Cardigan,Cardigan,Turtleneck,80,80,75,75,85,40,50,40,40,45,49,49,50,50,55,99,99,99,99,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,3,4.0500002,2.7,3,4.0500002,3,Cardigan,Sweater Vest,Sweater Vest,Turtleneck,Turtleneck,Cardigan,Cardigan,Cardigan,Cardigan,Turtleneck,80,75,75,85,85,40,55,55,40,45,49,50,50,55,55,99,99,99,99,90,No Action,Donate 10% of Period Earnings,Donate 10% of Period Earnings,Donate 10% of Period Earnings,No Action,Donate 10% of Period Earnings,Donate 10% of Period Earnings,No Action,Donate 10% of Period Earnings,Donate 10% of Period Earnings,,,,,,,,,,,7,3,4,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,21.760002,8.5100002,13.25,.69999999,.30000001,.40000001
vq1eec0w,27zo8zel,,1,4.3099999,vq1eec0w,27zo8zel,1,,Baseline,the National Rifle Association (NRA),19,1,South Asian,1,0,4,5,4,0,0,0,0,1,1,0,0,0,0,0,1,1,1,5,1,0,4,4,4,0,0,2,2,2,2.0999999,0,3.0899999,3.0899999,2.0899999,3.3,3,2,4.0500002,2.8299999,4.0500002,3.3699999,3.0899999,3.0899999,2.0899999,3.3,3,2,4.0500002,2.8299999,4.0500002,3.3699999,,,,,,,,,,,0,0,0,0,0,0,.44999999,.31999999,.44999999,.38,0,0,0,0,0,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,.22,.22,Cardigan,Cardigan,Sweater Vest,Turtleneck,Turtleneck,Cardigan,Cardigan,Cardigan,Cardigan,Cardigan,100,100,49,100,50,40,40,30,40,45,30,30,109,9,9,99,99,80,99,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,4,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,30.869999,14.57,16.299999,.40000001,0,.40000001
2pq3xh2i,27zo8zel,,1,3.53,2pq3xh2i,27zo8zel,1,,Baseline,Everytown for Gun Safety,27,2,White,0,1,5,5,5,1,0,0,0,1,1,0,0,0,0,1,1,1,-4,3,-3,3,1,-3,-3,-4,-3,-5,2,3,-1.8,1,.44999999,.44999999,3.51,.44999999,3.4200001,4.1799998,3.3699999,4.73,5.4000001,5.5300002,.44999999,.44999999,3.51,.44999999,3.4200001,4.1799998,3.3699999,4.73,5.4000001,5.5300002,,,,,,,,,,,.050000001,.050000001,.38999999,.050000001,.38,.47,.38,.51999998,.60000002,.62,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,.029999999,0,0,0,0,0,0,0,.30000001,.33000001,Sweater Vest,Cardigan,Turtleneck,Cardigan,Turtleneck,Cardigan,Cardigan,Cardigan,Cardigan,Cardigan,90,80,70,70,71,39,45,35,30,29,49,55,48,48,48,99,99,99,99,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.44999999,.44999999,3.51,.44999999,3.4200001,4.1799998,3.3699999,4.73,5.4000001,5.5300002,Sweater Vest,Cardigan,Turtleneck,Cardigan,Turtleneck,Cardigan,Cardigan,Cardigan,Cardigan,Cardigan,90,80,70,70,71,39,45,35,30,29,49,55,48,48,48,99,99,99,99,99,Donate 10% of Period Earnings,Donate 10% of Period Earnings,Donate 10% of Period Earnings,Donate 10% of Period Earnings,Donate 10% of Period Earnings,Donate 10% of Period Earnings,Donate 10% of Period Earnings,Donate 10% of Period Earnings,Donate 10% of Period Earnings,Donate 10% of Period Earnings,,,,,,,,,,,10,5,5,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,31.49,8.2799997,23.210001,1,.5,.5
y6xk8ucc,27zo8zel,,1,2.0999999,y6xk8ucc,27zo8zel,1,,Baseline,The American Red Cross,34,1,White,0,0,4,3,3,1,0,0,0,1,1,0,0,0,0,0,1,1,0,-3,0,-3,-1,-3,1,-2,0,1,2,2,-1,2,.44999999,.44999999,.44999999,.44999999,2.8399999,.44999999,.44999999,.44999999,2.8399999,2.8399999,.44999999,.44999999,.44999999,.44999999,2.8399999,.44999999,.44999999,.44999999,2.8399999,2.8399999,,,,,,,,,,,.050000001,.050000001,.050000001,.050000001,0,.050000001,.050000001,.050000001,0,0,1,1,1,1,0,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,.029999999,0,0,0,0,0,0,0,0,.029999999,Cardigan,Cardigan,Cardigan,Sweater Vest,Cardigan,Cardigan,Cardigan,Cardigan,Cardigan,Cardigan,80,80,80,80,80,80,90,100,80,80,49,55,55,58,55,99,99,99,55,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.44999999,45,,.47999999,2.8399999,.44999999,,,,,Cardigan,Cardigan,Cardigan,Cardigan,Cardigan,Cardigan,Cardigan,Cardigan,,Cardigan,80,80,,80,80,80,,40,,80,49,55,,58,55,99,,50,,55,Donate 10% of Period Earnings,Donate 10% of Period Earnings,,Donate 10% of Period Earnings,No Action,Donate 10% of Period Earnings,,Donate 10% of Period Earnings,,No Action,,,,,,,,,,,7,4,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,11.669999,4.6399999,7.0299997,.69999999,.40000001,.30000001
q47knosl,27zo8zel,,1,3.0999999,q47knosl,27zo8zel,1,,Baseline,the National Rifle Association (NRA),50,0,White,0,1,4,3,3,1,0,0,0,1,1,0,0,0,0,1,1,1,0,-2,-2,4,0,-3,3,2,3,0,2,3,.5,0,2.97,2.9000001,.44999999,2.99,3.0899999,2.1900001,2.5899999,.44999999,2.8399999,3.04,2.97,2.9000001,.44999999,2.99,3.0899999,2.1900001,2.5899999,.44999999,2.8399999,3.04,,,,,,,,,,,0,0,.050000001,0,0,0,0,.050000001,0,0,0,0,1,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,Sweater Vest,Cardigan,Cardigan,Cardigan,Sweater Vest,Cardigan,Cardigan,Cardigan,Cardigan,Cardigan,80,80,80,80,80,40,80,70,70,80,52,49,49,40,40,80,80,99,45,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.97,2.9000001,.44999999,2.99,3.0899999,2.1900001,2.5899999,.44999999,2.8399999,3.04,Sweater Vest,Cardigan,Cardigan,Cardigan,Sweater Vest,Cardigan,Cardigan,Cardigan,Cardigan,Cardigan,80,80,80,80,80,40,80,70,70,80,52,49,49,40,40,80,80,99,45,35,,No Action,Donate 10% of Period Earnings,No Action,No Action,No Action,No Action,Donate 10% of Period Earnings,No Action,No Action,,,,,,,,,,,2,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,23.510002,12.4,11.11,.2,.1,.1
ent7b4ke,27zo8zel,,1,3.25,ent7b4ke,27zo8zel,1,,Baseline,Everytown for Gun Safety,21,0,Hispanic,1,1,4,5,5,1,0,0,0,0,1,0,0,0,0,1,1,1,0,-2,-1,4,3,0,-2,-1,0,-2,1,3,-.1,1,.44999999,.44999999,3,1.8,.44999999,4.0500002,4.0500002,4.0500002,4.0500002,4.0500002,.44999999,.44999999,3,1.8,.44999999,4.0500002,4.0500002,4.0500002,4.0500002,4.0500002,,,,,,,,,,,.050000001,.050000001,0,.2,.050000001,.44999999,.44999999,.44999999,.44999999,.44999999,1,1,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,.029999999,0,0,0,0,0,0,0,.22,.25,Sweater Vest,Cardigan,Sweater Vest,Turtleneck,Turtleneck,Cardigan,Cardigan,Cardigan,Cardigan,Cardigan,70,50,80,80,90,40,40,40,40,40,49,39,49,59,69,99,99,99,99,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.44999999,.44999999,3,1.8,.44999999,4.0500002,4.0500002,4.0500002,4.0500002,4.0500002,Sweater Vest,Cardigan,Sweater Vest,Turtleneck,Turtleneck,Cardigan,Cardigan,Cardigan,Cardigan,Cardigan,70,50,80,80,90,40,40,40,40,40,49,39,49,59,69,99,99,99,99,99,Donate 10% of Period Earnings,Donate 10% of Period Earnings,No Action,Donate 10% of Period Earnings,Donate 10% of Period Earnings,Donate 10% of Period Earnings,Donate 10% of Period Earnings,Donate 10% of Period Earnings,Donate 10% of Period Earnings,Donate 10% of Period Earnings,,,,,,,,,,,9,4,5,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,26.399998,6.1499996,20.25,.89999998,.40000001,.5
wzrzgzm1,27zo8zel,,1,1.73,wzrzgzm1,27zo8zel,1,,Baseline,The American Red Cross,33,0,White,0,1,5,4,5,1,0,1,0,1,0,1,1,0,1,0,1,0,-5,0,-3,4,0,-4,-3,-5,-3,-5,2,4,-2.4000001,2,.44999999,2.9000001,3,2.95,3,2.7,2.5999999,.44999999,2.5,2.3499999,.44999999,2.9000001,3,2.95,3,2.7,2.5999999,.44999999,2.5,2.3499999,,,,,,,,,,,.050000001,0,0,0,0,.30000001,0,.050000001,0,0,1,0,0,0,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,.029999999,0,0,0,0,0,0,0,0,.029999999,Cardigan,Cardigan,Sweater Vest,Sweater Vest,Sweater Vest,Cardigan,Cardigan,Sweater Vest,Cardigan,Cardigan,80,80,80,75,80,50,80,80,70,75,59,49,49,49,49,99,79,79,79,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.44999999,2.9000001,3,2.95,3,2.7,2.5999999,.44999999,2.5,2.3499999,Cardigan,Cardigan,Sweater Vest,Sweater Vest,Sweater Vest,Cardigan,Cardigan,Sweater Vest,Cardigan,Cardigan,80,80,80,75,80,50,80,80,70,75,59,49,49,49,49,99,79,79,79,99,Donate 10% of Period Earnings,No Action,No Action,No Action,No Action,Donate 10% of Period Earnings,No Action,Donate 10% of Period Earnings,No Action,No Action,,,,,,,,,,,3,1,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,22.900002,12.3,10.6,.30000001,.1,.2
0dfurp8d,27zo8zel,,1,4,0dfurp8d,27zo8zel,1,,Baseline,the National Rifle Association (NRA),22,0,Black,0,1,3,2,3,1,0,0,0,1,1,1,0,0,1,1,1,1,2,4,-1,-4,-2,2,3,3,3,-2,2,5,.80000001,0,3,.44999999,3.04,3.0899999,2.99,3.02,2.98,4.0500002,2.99,3.0899999,3,.44999999,3.04,3.0899999,2.99,3.02,2.98,4.0500002,2.99,3.0899999,,,,,,,,,,,0,.050000001,0,0,0,0,0,.44999999,0,0,0,1,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,Sweater Vest,Cardigan,Turtleneck,Sweater Vest,Cardigan,Sweater Vest,Turtleneck,Cardigan,Sweater Vest,Sweater Vest,80,70,85,85,90,82,89,40,89,89,49,39,40,45,50,49,50,99,59,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,.44999999,3.04,3.0899999,2.99,3.02,2.98,4.0500002,2.99,3.0899999,Sweater Vest,,,Sweater Vest,Cardigan,Sweater Vest,Turtleneck,Cardigan,Sweater Vest,Sweater Vest,80,70,85,85,90,82,89,40,89,89,49,39,40,45,50,49,50,99,59,49,No Action,Donate 10% of Period Earnings,No Action,No Action,No Action,No Action,No Action,Donate 10% of Period Earnings,No Action,No Action,,,,,,,,,,,2,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,28.699999,12.57,16.129999,.2,.1,.1
xkpc4gr5,27zo8zel,,1,3.73,xkpc4gr5,27zo8zel,1,,Baseline,Everytown for Gun Safety,23,0,White,0,0,5,5,3,1,0,0,1,1,1,0,0,0,1,1,1,1,1,4,-3,-2,2,0,1,4,3,3,3,4,1.3,1,.44999999,.44999999,3.51,2.6099999,2.5899999,.44999999,4.0500002,5.27,6.6100001,.44999999,.44999999,.44999999,3.51,2.6099999,2.5899999,.44999999,4.0500002,5.27,6.6100001,.44999999,,,,,,,,,,,.050000001,.050000001,.38999999,.28999999,0,.050000001,.44999999,.57999998,.74000001,.050000001,1,1,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,.029999999,0,0,0,0,0,0,0,.37,.40000001,Sweater Vest,Cardigan,Turtleneck,Turtleneck,Turtleneck,Cardigan,Cardigan,Cardigan,Cardigan,Sweater Vest,80,70,50,50,50,80,40,30,0,0,49,60,50,60,50,99,99,100,100,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.44999999,.44999999,3.51,2.6099999,2.5899999,.44999999,4.0500002,5.27,6.6100001,.44999999,Sweater Vest,Cardigan,Turtleneck,Turtleneck,Turtleneck,Cardigan,Cardigan,Cardigan,Cardigan,Sweater Vest,80,70,50,50,50,80,40,30,0,0,49,60,50,60,50,99,99,100,100,109,Donate 10% of Period Earnings,Donate 10% of Period Earnings,Donate 10% of Period Earnings,Donate 10% of Period Earnings,No Action,Donate 10% of Period Earnings,Donate 10% of Period Earnings,Donate 10% of Period Earnings,Donate 10% of Period Earnings,Donate 10% of Period Earnings,,,,,,,,,,,9,4,5,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,26.440001,9.6099997,16.830002,.89999998,.40000001,.5
4hvzdlc6,27zo8zel,,1,2.3299999,4hvzdlc6,27zo8zel,1,,Baseline,The American Red Cross,35,1,White,0,0,3,3,3,1,0,0,0,0,1,0,0,0,1,1,1,1,1,1,-1,5,1,-1,1,1,0,1,1,4,.89999998,2,3,3,.44999999,2.8900001,2.1600001,2.6900001,2.4000001,2.49,.44999999,2.3900001,3,3,.44999999,2.8900001,2.1600001,2.6900001,2.4000001,2.49,.44999999,2.3900001,,,,,,,,,,,0,0,.050000001,0,.23999999,0,0,0,.050000001,0,0,0,1,0,1,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,.029999999,.029999999,Sweater Vest,Sweater Vest,Sweater Vest,Cardigan,Turtleneck,Sweater Vest,Cardigan,Turtleneck,Sweater Vest,Cardigan,80,80,75,80,80,50,80,50,100,100,49,49,50,50,55,50,99,60,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,.44999999,,,,,,,,Sweater Vest,Sweater Vest,Sweater Vest,,,,Turtleneck,Turtleneck,,,80,80,75,,,,,,,,49,49,50,,,,,,,,No Action,No Action,Donate 10% of Period Earnings,,,,,,,,,,,,,,,,,,3,2,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,21.92,11.5,10.42,.30000001,.2,.1
mtkkq5bu,27zo8zel,,1,2.1300001,mtkkq5bu,27zo8zel,1,,Baseline,the National Rifle Association (NRA),24,0,White,0,0,5,3,3,1,0,0,0,0,0,0,0,0,0,1,1,1,0,-5,-5,-3,3,0,0,-5,0,-2,0,3,-1.7,0,3,3,2.4000001,2.9000001,3.0999999,2.7,4.0500002,2.7,.44999999,2,3,3,2.4000001,2.9000001,3.0999999,2.7,4.0500002,2.7,.44999999,2,,,,,,,,,,,0,0,0,0,0,.30000001,.44999999,.30000001,.050000001,0,0,0,0,0,0,1,1,1,1,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,.029999999,.029999999,Sweater Vest,Sweater Vest,Sweater Vest,Cardigan,Cardigan,Cardigan,Cardigan,Cardigan,Sweater Vest,Cardigan,80,90,100,80,90,50,40,40,80,40,49,59,109,49,39,99,99,89,49,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,2.4000001,2.9000001,3.0999999,2.7,4.0500002,2.7,.44999999,2,Sweater Vest,Sweater Vest,Sweater Vest,Cardigan,Cardigan,Cardigan,Cardigan,Cardigan,Sweater Vest,Cardigan,80,90,100,80,90,50,40,40,80,40,49,59,109,49,39,99,99,89,49,99,No Action,No Action,No Action,No Action,No Action,Donate 10% of Period Earnings,Donate 10% of Period Earnings,Donate 10% of Period Earnings,Donate 10% of Period Earnings,No Action,,,,,,,,,,,4,0,4,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,26.300003,14.4,11.9,.40000001,0,.40000001
sbz1ojrm,27zo8zel,,1,3.9000001,sbz1ojrm,27zo8zel,1,,Baseline,Everytown for Gun Safety,19,0,White,1,1,5,4,5,0,0,0,0,1,1,0,0,1,1,1,1,1,-4,-2,-3,2,3,0,-3,-3,2,-3,2,5,-1.1,1,3.0999999,2.8900001,2.99,2.99,2.74,4.0500002,2.2,2.04,2.7,.81,3.0999999,2.8900001,2.99,2.99,2.74,4.0500002,2.2,2.04,2.7,.81,,,,,,,,,,,0,0,0,0,0,.44999999,0,0,.30000001,.090000004,0,0,0,0,0,1,0,0,1,1,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,.15000001,.15000001,Sweater Vest,Cardigan,Turtleneck,Sweater Vest,Cardigan,Cardigan,Cardigan,Cardigan,Cardigan,Turtleneck,80,80,75,80,85,40,50,35,50,50,39,50,35,50,70,99,89,90,99,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sweater Vest,Cardigan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,26.51,14.709999,11.8,.30000001,0,.30000001
2heken3j,27zo8zel,,1,6.1500001,2heken3j,27zo8zel,1,,Baseline,The American Red Cross,28,1,White,0,0,5,3,5,1,0,0,1,1,1,0,0,0,0,1,1,1,-5,-5,-3,-5,0,-3,-2,-3,0,-2,3,3,-2.8,2,3,2.95,.44999999,.44999999,3.0999999,1.35,5.4000001,6.75,8.1000004,6.75,3,2.95,.44999999,.44999999,3.0999999,1.35,5.4000001,6.75,8.1000004,6.75,,,,,,,,,,,0,0,.050000001,.050000001,0,.15000001,.60000002,.75,.89999998,.75,0,0,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,.44999999,.44999999,Sweater Vest,Sweater Vest,Sweater Vest,Sweater Vest,Sweater Vest,Cardigan,Cardigan,Cardigan,Cardigan,Cardigan,80,80,80,80,90,60,30,20,10,0,49,54,49,54,49,99,99,99,99,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2.95,.44999999,.44999999,3.0999999,1.35,5.4000001,6.75,8.1000004,6.75,Sweater Vest,Sweater Vest,Sweater Vest,,Sweater Vest,,Cardigan,Cardigan,Cardigan,Cardigan,80,80,80,80,90,60,30,20,10,0,49,54,49,54,49,99,99,99,99,99,No Action,No Action,Donate 10% of Period Earnings,Donate 10% of Period Earnings,No Action,Donate 10% of Period Earnings,Donate 10% of Period Earnings,Donate 10% of Period Earnings,Donate 10% of Period Earnings,Donate 10% of Period Earnings,,,,,,,,,,,7,2,5,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,38.299999,9.9499989,28.35,.69999999,.2,.5
ux2tn5v1,27zo8zel,,1,5.54,ux2tn5v1,27zo8zel,1,,Baseline,the National Rifle Association (NRA),24,0,East Asian,0,0,4,3,3,1,0,0,0,1,1,0,0,0,1,,1,1,-3,-1,0,-1,2,1,-1,0,-1,-2,2,,-.60000002,0,3,3,2.9000001,2.9000001,3,2.4000001,4.0500002,5.4000001,6.0700002,6.75,3,3,2.9000001,2.9000001,3,2.4000001,4.0500002,5.4000001,6.0700002,6.75,,,,,,,,,,,0,0,0,0,0,0,.44999999,.60000002,.68000001,.75,0,0,0,0,0,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,.34,.34,Sweater Vest,Sweater Vest,Sweater Vest,Sweater Vest,Sweater Vest,Cardigan,Cardigan,Cardigan,Cardigan,Cardigan,80,80,80,70,80,80,40,30,25,20,49,49,59,49,49,99,99,99,99,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,2.9000001,,2.4000001,4.0500002,5.4000001,6.0700002,6.75,Sweater Vest,,,Sweater Vest,,Cardigan,Cardigan,Cardigan,,Cardigan,80,,,70,,80,40,30,25,25,49,,,49,,99,99,99,99,99,No Action,,,No Action,,No Action,Donate 10% of Period Earnings,Donate 10% of Period Earnings,Donate 10% of Period Earnings,Donate 10% of Period Earnings,,,,,,,,,,,4,0,4,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,39.470001,14.799999,24.67,.40000001,0,.40000001
