participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.ip_address,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.prolific_id,player.start_time,player.end_time,player.round_earnings,player.round_earnings_str,player.condition,player.survey_key,player.cause,player.consent,player.confirm_cause_nra,player.confirm_cause_etfgs,player.confirm_cause_rc,player.confirm_money,player.donation,player.donation_sum,player.round_donation_str,player.donation_str,player.payoff_a,player.payoff_a_str,player.payoff_b,player.payoff_b_str,player.paying_round_a,player.paying_round_b,player.rand_num,player.social_action_count,player.type,player.cotton,player.price,player.social_action,player.type1,player.cotton1,player.price1,player.social_action1,player.t_match1,player.t_match2,player.t_match3,player.d_match1,player.d_match2,player.d_match3,player.match1,player.match2,player.match3,player.round_earnings_n,player.type_n,player.cotton_n,player.price_n,player.social_action_n,player.board_block_n,player.type_b,player.cotton_b,player.price_b,player.social_action_b,player.board_block,player.board_penalty,player.pre_decision_earnings,player.attention_check,player.free_response_1,player.free_response_2,player.free_response_3,player.free_response_4,player.free_response_b1,player.free_response_b2,player.free_response_r1,player.free_response_r2,player.age,player.gender,player.race,player.volunteer,player.donated,player.politics,player.stance_opinion,player.csr_opinion,player.trolley,player.risk1,player.risk2,player.risk3,player.risk4,player.risk5,player.amb1,player.amb2,player.amb3,player.amb4,player.amb5,player.amb6,player.amb7,player.fair1,player.fair2,player.fair3_r,player.fair4_r,player.fair5,player.fair6_r,player.fair7,player.fair8_r,player.fair9,player.fair10,player.risk_payoff,player.risk_payoff_str,player.amb_payoff,player.amb_payoff_str,player.open_comments,player.payoff,group.id_in_subsession,subsession.round_number,session.code,session.label,session.experimenter_name,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
21,kpx5ypcc,,0,280,280,spi_strategies,FinalPayment,10.47.227.158,2020-07-13 16:20:36.365049+00:00,1,,,3.70,21,5e8fd98b3b2ab82d465e56e0,1594657410.1960764,,3.0,3.00,Reputation,,the National Rifle Association (NRA),I consent,Any donations I make in this experiment will go to the National Rifle Association (NRA).,,,My personal earnings in this experiment will be paid to me in real money.,0.0,0.0,0.00,,,,,,5,8,,,Turtleneck,100,39,No Action,Turtleneck,100,39,No Action,0,1,0,1,0,,0,0,0,3.00,Turtleneck,100,39,No Action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1,1,fvhzp1ip,,,,,,0
22,fu4z3a60,,0,2,280,spi_strategies,Consent,10.81.206.121,2020-07-13 16:21:57.022748+00:00,1,,,0.00,22,5ace7a9be9d7a30001c2d8c7,,,,,Reputation,,Everytown for Gun Safety,,,,,,,0.0,,,,,,,5,8,,,,,,,Sweater Vest,80,49,No Action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1,1,fvhzp1ip,,,,,,0
23,uovpbey2,,0,280,280,spi_strategies,FinalPayment,10.31.92.118,2020-07-13 16:22:14.138153+00:00,1,,,2.24,23,5e656ac9feba202e923ea0cf,1594657438.4245021,,2.69,2.69,Reputation,,the National Rifle Association (NRA),I consent,Any donations I make in this experiment will go to the National Rifle Association (NRA).,,,My personal earnings in this experiment will be paid to me in real money.,0.0,0.0,0.00,,,,,,5,8,,,Turtleneck,60,50,No Action,Turtleneck,60,50,No Action,0,1,0,1,0,,0,0,0,2.69,Turtleneck,60,50,No Action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1,1,fvhzp1ip,,,,,,0
24,078cqbk1,,0,281,280,spi_strategies,FinalPayment,10.155.88.71,2020-07-13 16:22:28.907955+00:00,1,,,3.90,24,5c3393d9f53f7a000119160f,1594657485.5029626,,0.45,0.45,Reputation,,Everytown for Gun Safety,I consent,,Any donations I make in this experiment will go to Everytown for Gun Safety.,,My personal earnings in this experiment will be paid to me in real money.,0.0,0.0,0.05,,,,,,5,8,,,Sweater Vest,100,49,Donate 10% of Period Earnings,Sweater Vest,100,49,Donate 10% of Period Earnings,1,0,0,0,1,,0,0,0,0.45,Sweater Vest,100,49,Donate 10% of Period Earnings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1,1,fvhzp1ip,,,,,,0
25,ymccx8f1,,0,280,280,spi_strategies,FinalPayment,10.7.155.197,2020-07-13 16:22:56.170350+00:00,1,,,3.20,25,5d462c61da9cb60001aa49d4,1594657493.8139102,,3.0,3.00,Reputation,,the National Rifle Association (NRA),I consent,Any donations I make in this experiment will go to the National Rifle Association (NRA),,,My personal earnings in this experiment will be paid to me in real money,0.0,0.0,0.00,,,,,,5,8,,,Sweater Vest,80,49,No Action,Sweater Vest,80,49,No Action,1,0,0,1,0,,1,1,0,3.00,Sweater Vest,80,49,No Action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1,1,fvhzp1ip,,,,,,0
26,lex0f9l2,,0,280,280,spi_strategies,FinalPayment,10.138.162.166,2020-07-13 16:23:08.905499+00:00,1,,,3.15,26,5ace7a9be9d7a30001c2d8c7,1594657497.7300603,,2.6,2.60,Reputation,,Everytown for Gun Safety,I consent,,Any donations I make in this experiment will go to Everytown for Gun Safety.,,My personal earnings in this experiment will be paid to me in real money.,0.0,0.0,0.00,,,,,,5,8,,,Cardigan,90,89,No Action,Cardigan,90,89,No Action,0,0,1,1,0,,0,1,0,2.60,Cardigan,90,89,No Action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1,1,fvhzp1ip,,,,,,0
27,kvs1lf3z,,0,280,280,spi_strategies,FinalPayment,10.81.230.166,2020-07-13 16:25:38.952706+00:00,1,,,1.23,27,5f09001b6c3dd8189eeac3bd,1594657642.0860596,,3.0,3.00,Reputation,,the National Rifle Association (NRA),I consent,Any donations I make in this experiment will go to the National Rifle Association (NRA).,,,My personal earnings in this experiment will be paid to me in real money.,0.0,0.0,0.00,,,,,,5,8,,,Sweater Vest,80,49,No Action,Sweater Vest,80,49,No Action,1,0,0,1,0,,1,1,0,3.00,Sweater Vest,80,49,No Action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1,1,fvhzp1ip,,,,,,0
28,d72ef8ky,,0,280,280,spi_strategies,FinalPayment,10.63.123.248,2020-07-13 16:26:01.227306+00:00,1,,,0.66,28,5eea9699ab4f5c1bcbffa983,1594657775.0144544,,0.45,0.45,Reputation,,Everytown for Gun Safety,I consent,,Any donations I make in this experiment will go to Everytown for Gun Safety.,,My personal earnings in this experiment will be paid to me in real money.,0.0,0.0,0.05,,,,,,5,8,,,Sweater Vest,80,49,Donate 10% of Period Earnings,Sweater Vest,80,49,Donate 10% of Period Earnings,1,0,0,0,1,,0,0,0,0.45,Sweater Vest,80,49,Donate 10% of Period Earnings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1,1,fvhzp1ip,,,,,,0
29,oi0ilj8a,,0,280,280,spi_strategies,FinalPayment,10.11.254.71,2020-07-13 16:26:24.611862+00:00,1,,,3.65,29,5a8d5e4e000dab00018ce464,1594657654.9745245,,2.92,2.92,Reputation,,the National Rifle Association (NRA),I consent,Any donations I make in this experiment will go to the National Rifle Association (NRA).,,,My personal earnings in this experiment will be paid to me in real money.,0.0,0.0,0.00,,,,,,5,8,,,Sweater Vest,80,57,No Action,Sweater Vest,80,57,No Action,1,0,0,1,0,,1,1,0,2.92,Sweater Vest,80,57,No Action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1,1,fvhzp1ip,,,,,,0
30,ygngsaln,,0,280,280,spi_strategies,FinalPayment,10.43.182.207,2020-07-13 16:26:45.378039+00:00,1,,,0.66,30,5f0a9f170ad0d636d5a7d1ca,1594657700.044527,,2.82,2.82,Reputation,,Everytown for Gun Safety,I consent,,Any donations I make in this experiment will go to Everytown for Gun Safety.,,My personal earnings in this experiment will be paid to me in real money.,0.0,0.0,0.00,,,,,,5,8,,,Turtleneck,75,52,No Action,Turtleneck,75,52,No Action,0,1,0,1,0,,0,0,0,2.82,Turtleneck,75,52,No Action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1,1,fvhzp1ip,,,,,,0
